Measurement time,Number of CPUs cores,CPU 0 freq,CPU 1 freq,CPU 2 freq,CPU 3 freq,Free RAM,Used RAM,Total RAM,Free Swap,Used Swap,Total Swap,CPU load (1m),CPU load (5m),CPU load (15m),Number of processes,Number of bytes received,Number of bytes sent,Number of packets received,Number of packets sent
s,N/A,kHz,kHz,kHz,kHz,kB,kB,kB,kB,kB,kB,%,%,%,N/A,bytes,bytes,N/A,N/A
1570564272.651919,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4603144.0,3538368.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,330.0,894.0,5.0,5.0
1570564273.652568,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4603144.0,3538368.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,330.0,894.0,5.0,5.0
1570564274.6525729,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4603144.0,3538368.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,330.0,894.0,5.0,5.0
1570564275.6526334,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4603144.0,3538368.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,330.0,894.0,5.0,5.0
1570564276.6526,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4603144.0,3538368.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,330.0,894.0,5.0,5.0
1570564277.6523297,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4603144.0,3538368.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,330.0,894.0,5.0,5.0
1570564278.6530974,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4603144.0,3538368.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,330.0,894.0,5.0,5.0
1570564279.65308,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4603144.0,3538368.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,330.0,894.0,5.0,5.0
1570564280.6527889,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4603144.0,3538620.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,330.0,894.0,5.0,5.0
1570564281.652298,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602892.0,3538620.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,330.0,894.0,5.0,5.0
1570564282.6529891,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602892.0,3538620.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,330.0,894.0,5.0,5.0
1570564283.6528366,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602892.0,3538620.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,330.0,894.0,5.0,5.0
1570564284.652897,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602892.0,3538620.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,330.0,894.0,5.0,5.0
1570564285.6535351,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602892.0,3538620.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,330.0,894.0,5.0,5.0
1570564286.6529691,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602892.0,3538620.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,330.0,894.0,5.0,5.0
1570564287.652396,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602892.0,3538620.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,330.0,894.0,5.0,5.0
1570564288.6527712,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602892.0,3538620.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,330.0,894.0,5.0,5.0
1570564289.6529565,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4602892.0,3538620.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,330.0,894.0,5.0,5.0
